status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
107861655950370_1405473206189202,Što kažete na nešto vrlo brzo i vrlo jeftino? :D via Index Oglasi,Index Oglasi,link,http://www.index.hr/oglasi/renault-clio-2-0-16v-172ks-sport/oid/457097?utm_source=facebook&utm_medium=social&utm_campaign=facebook_objava_mz&utm_content=457097,2017-03-24 12:55:07,11,11,0,10,1,0,0,0,0
107861655950370_1406225222780667,"Index Sport: SJAJNO!!!

Velika vijest za GNK Dinamo Zagreb!","SJAJNA VIJEST Ademi se vraća, smanjena mu je kazna!",link,http://www.index.hr/sport/clanak/sjajna-vijest-ademi-se-vraca-smanjena-mu-je-kazna/959019.aspx,2017-03-24 12:38:05,471,8,4,450,10,0,7,0,4
107861655950370_1406216586114864,Glava vam puca od stresa? Opustite se ;),"PRONAĐITE SVOJ MIR Vikendica ili novi dom, ovo su najbolje kuće pola sata od Zagreba",link,http://www.index.hr/black/clanak/pronadjite-svoj-mir-vikendica-ili-novi-dom-ovo-su-najbolje-kuce-pola-sata-od-zagreba/958992.aspx,2017-03-24 12:29:18,25,0,1,25,0,0,0,0,0
107861655950370_1406198312783358,Index Vijesti: Očitovao se Kujundžić.,Kujundžić odgovorio HUBOL-u: Spreman sam otvoriti sve teme,link,http://www.index.hr/vijesti/clanak/kujundjic-odgovorio-hubolu-spreman-sam-otvoriti-sve-teme/958999.aspx,2017-03-24 11:56:23,29,26,0,6,1,0,14,1,7
107861655950370_1406198176116705,,HNS POTVRDIO Čačić ostaje izbornik još dvije godine!,link,http://www.index.hr/sport/clanak/hns-potvrdio-cacic-ostaje-izbornik-jos-dvije-godine/958998.aspx,2017-03-24 11:56:17,80,24,3,50,4,4,9,7,6
107861655950370_1406198126116710,Muški razlozi su prilično predvidljivi :D,Ovo su najčešći razlozi za prekid veze: Iznenadit će vas zašto žene najčešće ostavljaju,link,http://www.index.hr/black/clanak/ovo-su-najcesci-razlozi-za-prekid-veze-iznenadit-ce-vas-zasto-zene-najcesce-ostavljaju/958997.aspx,2017-03-24 11:56:13,15,2,0,14,0,0,0,1,0
107861655950370_1406198076116715,Što mislite o seksu kroz virtualne naočale?,Seks kroz virtualne naočale: Ovo su najbolje VR aplikacije za odrasle (18+),link,http://www.index.hr/black/clanak/seks-kroz-virtualne-naocale-ovo-su-najbolje-vr-aplikacije-za-odrasle-18/956436.aspx,2017-03-24 11:56:09,38,7,5,35,1,0,2,0,0
107861655950370_1406198026116720,Navodno je bila i s Justinom Bieberom.,"FOTO Ima 26 godina, a udala se za 62-godišnjeg milijunaša - svi tvrde zbog novca, ali nju baš briga",link,http://www.index.hr/black/clanak/foto-ima-26-godina-a-udala-se-za-62godisnjeg-milijunasa--svi-tvrde-zbog-novca-ali-nju-bas-briga/958990.aspx,2017-03-24 11:56:04,195,49,2,172,3,3,12,3,2
107861655950370_1406197922783397,"Index Ljubimci: Presladak je. :) Nova vlasnica mu pomaže u nekim stvarima, ali i on njoj!","Vlasnik ga je mučio kad je bio mačić, a sada ima najbolju mamu na svijetu!",link,http://www.index.hr/ljubimci/clanak/vlasnik-ga-je-mucio-kad-je-bio-macic-a-sada-ima-najbolju-mamu-na-svijetu/958996.aspx,2017-03-24 11:55:59,371,6,11,292,55,0,2,21,1
107861655950370_1406197876116735,Index Sport: Bivši prvak izgleda sramotno.,IZGLEDA TRAGIČNO Procurile fotografije Tysona Furyja s treninga,link,http://www.index.hr/sport/clanak/izgleda-tragicno-procurile-fotografije-tysona-furyja-s-treninga/959002.aspx,2017-03-24 11:55:54,26,1,0,25,0,0,1,0,0
107861655950370_1406197842783405,,Martina Dalić: Vlada radi zakon koji će štititi Agrokor,link,http://www.index.hr/vijesti/clanak/martina-dalic-vlada-radi-zakon-koji-ce-stititi-agrokor/958966.aspx,2017-03-24 11:55:49,393,266,67,105,3,6,29,48,202
107861655950370_1406174516119071,,I europski mediji pišu o mogućim neredima na Maksimiru,link,http://www.index.hr/sport/clanak/i-europski-mediji-pisu-o-mogucim-neredima-na-maksimiru/958908.aspx,2017-03-24 11:17:51,33,15,0,25,3,0,0,3,2
107861655950370_1406174482785741,Index Vijesti: Održala predavanje na sveučilištu u Lundu.,Predsjednica kaže kako su EU i NATO izgubili jugoistočnu Europu iz fokusa,link,http://www.index.hr/vijesti/clanak/predsjednica-kaze-kako-su-eu-i-nato-izgubili-jugoistocnu-europu-iz-fokusa/958983.aspx,2017-03-24 11:17:46,37,30,0,17,0,1,12,4,3
